,D4,D3,D2,D1,D0,None,d
706,0.0,0.0,0.0,24.43,83.39,16.61,2006-09-19
707,0.0,0.0,0.0,24.43,67.56,32.44,2006-09-12
708,0.0,0.0,0.0,0.0,67.56,32.44,2006-09-05
709,0.0,0.0,0.0,0.0,53.06,46.94,2006-08-29
710,0.0,0.0,0.0,0.0,0.0,100.0,2006-08-22
711,0.0,0.0,0.0,0.0,0.0,100.0,2006-08-15
712,0.0,0.0,0.0,0.0,0.0,100.0,2006-08-08
713,0.0,0.0,0.0,0.0,0.0,100.0,2006-08-01
714,0.0,0.0,0.0,0.0,0.0,100.0,2006-07-25
715,0.0,0.0,0.0,0.0,0.0,100.0,2006-07-18
716,0.0,0.0,0.0,0.0,0.0,100.0,2006-07-11
717,0.0,0.0,0.0,0.0,0.0,100.0,2006-07-04
718,0.0,0.0,0.0,0.0,0.0,100.0,2006-06-27
719,0.0,0.0,0.0,0.0,0.0,100.0,2006-06-20
720,0.0,0.0,0.0,0.0,0.0,100.0,2006-06-13
721,0.0,0.0,0.0,0.0,0.0,100.0,2006-06-06
722,0.0,0.0,0.0,0.0,0.0,100.0,2006-05-30
723,0.0,0.0,0.0,0.0,0.0,100.0,2006-05-23
724,0.0,0.0,0.0,0.0,0.0,100.0,2006-05-16
725,0.0,0.0,0.0,0.0,0.0,100.0,2006-05-09
726,0.0,0.0,0.0,0.0,0.0,100.0,2006-05-02
727,0.0,0.0,0.0,0.0,0.0,100.0,2006-04-25
728,0.0,0.0,0.0,0.0,0.0,100.0,2006-04-18
729,0.0,0.0,0.0,0.0,0.0,100.0,2006-04-11
730,0.0,0.0,0.0,0.0,0.0,100.0,2006-04-04
731,0.0,0.0,0.0,0.0,0.0,100.0,2006-03-28
732,0.0,0.0,0.0,0.0,0.0,100.0,2006-03-21
733,0.0,0.0,0.0,0.0,0.0,100.0,2006-03-14
734,0.0,0.0,0.0,0.0,0.0,100.0,2006-03-07
735,0.0,0.0,0.0,0.0,0.0,100.0,2006-02-28
736,0.0,0.0,0.0,0.0,0.0,100.0,2006-02-21
737,0.0,0.0,0.0,0.0,0.0,100.0,2006-02-14
738,0.0,0.0,0.0,0.0,0.0,100.0,2006-02-07
739,0.0,0.0,0.0,0.0,0.0,100.0,2006-01-31
740,0.0,0.0,0.0,0.0,0.0,100.0,2006-01-24
741,0.0,0.0,0.0,0.0,1.8,98.2,2006-01-17
742,0.0,0.0,0.0,0.0,49.16,50.84,2006-01-10
743,0.0,0.0,0.0,21.74,53.8,46.2,2006-01-03
744,0.0,0.0,14.98,53.44,57.23,42.77,2005-12-27
745,0.0,0.0,17.14,57.26,62.05,37.95,2005-12-20
746,0.0,0.0,17.14,51.53,62.05,37.95,2005-12-13
747,0.0,0.0,17.14,51.53,62.05,37.95,2005-12-06
748,0.0,0.0,37.92,54.3,66.57,33.43,2005-11-29
749,0.0,0.0,40.15,58.02,69.41,30.59,2005-11-22
750,0.0,0.0,40.15,58.02,69.41,30.59,2005-11-15
751,0.0,0.0,44.25,59.69,72.78,27.22,2005-11-08
752,0.0,6.9,48.64,65.19,76.43,23.57,2005-11-01
753,0.0,6.9,48.64,65.19,76.43,23.57,2005-10-25
754,0.0,6.9,48.64,65.19,76.43,23.57,2005-10-18
755,0.0,10.99,49.49,65.19,86.67,13.33,2005-10-11
756,0.0,10.99,49.49,65.19,86.67,13.33,2005-10-04
757,0.0,14.29,52.24,71.59,97.35,2.65,2005-09-27
758,0.0,14.29,52.24,69.14,94.49,5.51,2005-09-20
759,0.0,0.0,48.74,66.17,84.74,15.26,2005-09-13
760,0.0,0.0,48.74,66.17,84.74,15.26,2005-09-06
761,0.0,0.0,48.74,66.17,84.48,15.52,2005-08-30
762,0.0,0.0,48.74,66.17,84.37,15.63,2005-08-23
763,0.0,0.0,48.74,66.17,84.95,15.05,2005-08-16
764,0.0,0.0,46.86,66.17,85.11,14.89,2005-08-09
765,0.0,0.0,46.86,66.17,85.56,14.44,2005-08-02
766,0.0,0.0,46.86,66.17,84.94,15.06,2005-07-26
767,0.0,0.0,46.86,66.17,84.94,15.06,2005-07-19
768,0.0,0.0,46.86,66.17,84.94,15.06,2005-07-12
769,0.0,0.0,47.22,69.53,85.87,14.13,2005-07-05
770,0.0,0.0,47.22,69.53,85.87,14.13,2005-06-28
771,0.0,0.0,47.22,69.53,86.84,13.16,2005-06-21
772,0.0,0.0,40.47,67.56,87.51,12.49,2005-06-14
773,0.0,0.0,40.47,67.56,76.25,23.75,2005-06-07
774,0.0,0.0,39.6,67.56,76.25,23.75,2005-05-31
775,0.0,0.0,39.6,67.56,76.25,23.75,2005-05-24
776,0.0,0.0,39.6,67.56,76.25,23.75,2005-05-17
777,0.0,13.66,47.61,70.47,80.42,19.58,2005-05-10
778,0.0,13.66,47.17,70.47,80.68,19.32,2005-05-03
779,0.0,13.66,47.17,70.47,80.27,19.73,2005-04-26
780,0.0,13.66,47.3,70.92,80.27,19.73,2005-04-19
781,0.0,0.0,53.34,79.2,86.65,13.35,2005-04-12
782,0.0,0.0,53.29,79.2,86.74,13.26,2005-04-05
783,0.0,0.0,45.77,80.81,93.76,6.24,2005-03-29
784,0.0,0.0,53.74,83.88,97.74,2.26,2005-03-22
785,0.0,0.0,53.74,83.88,97.74,2.26,2005-03-15
786,0.0,0.0,53.74,83.88,97.74,2.26,2005-03-08
787,0.0,0.0,38.84,83.88,97.74,2.26,2005-03-01
788,0.0,0.0,33.85,69.78,95.7,4.3,2005-02-22
789,0.0,0.0,4.8,65.5,86.09,13.91,2005-02-15
790,0.0,0.0,0.0,60.93,70.97,29.03,2005-02-08
791,0.0,0.0,0.0,57.71,67.92,32.08,2005-02-01
792,0.0,0.0,0.0,0.0,67.92,32.08,2005-01-25
793,0.0,0.0,0.0,0.0,80.31,19.69,2005-01-18
794,0.0,0.0,0.0,0.0,92.43,7.57,2005-01-11
795,0.0,0.0,0.0,0.0,37.91,62.09,2005-01-04
796,0.0,0.0,0.0,0.0,37.91,62.09,2004-12-28
797,0.0,0.0,0.0,0.0,28.32,71.68,2004-12-21
798,0.0,0.0,0.0,0.0,10.27,89.73,2004-12-14
799,0.0,0.0,0.0,0.0,35.3,64.7,2004-12-07
800,0.0,0.0,0.0,0.0,30.64,69.36,2004-11-30
801,0.0,0.0,0.0,0.0,33.16,66.84,2004-11-23
802,0.0,0.0,0.0,0.0,14.24,85.76,2004-11-16
803,0.0,0.0,0.0,0.0,14.24,85.76,2004-11-09
804,0.0,0.0,0.0,0.0,14.24,85.76,2004-11-02
805,0.0,0.0,0.0,0.0,13.91,86.09,2004-10-26
806,0.0,0.0,0.0,0.0,13.91,86.09,2004-10-19
807,0.0,0.0,0.0,0.0,13.91,86.09,2004-10-12
808,0.0,0.0,0.0,0.0,13.91,86.09,2004-10-05
809,0.0,0.0,0.0,0.0,13.91,86.09,2004-09-28
810,0.0,0.0,0.0,0.0,13.93,86.07,2004-09-21
811,0.0,0.0,0.0,0.0,13.93,86.07,2004-09-14
812,0.0,0.0,0.0,0.0,17.11,82.89,2004-09-07
813,0.0,0.0,0.0,0.0,17.57,82.43,2004-08-31
814,0.0,0.0,0.0,17.01,60.57,39.43,2004-08-24
815,0.0,0.0,0.0,22.4,89.59,10.41,2004-08-17
816,0.0,0.0,0.0,22.4,89.59,10.41,2004-08-10
817,0.0,0.0,0.0,29.17,89.46,10.54,2004-08-03
818,0.0,0.0,0.0,29.17,88.56,11.44,2004-07-27
819,0.0,0.0,0.0,19.7,88.56,11.44,2004-07-20
820,0.0,0.0,0.0,19.2,67.9,32.1,2004-07-13
821,0.0,0.0,0.0,19.2,67.9,32.1,2004-07-06
822,0.0,0.0,0.0,9.48,67.8,32.2,2004-06-29
823,0.0,0.0,0.0,5.32,37.11,62.89,2004-06-22
824,0.0,0.0,0.0,5.57,36.56,63.44,2004-06-15
825,0.0,0.0,0.0,5.52,53.6,46.4,2004-06-08
826,0.0,0.0,0.0,5.8,61.81,38.19,2004-06-01
827,0.0,0.0,0.0,28.22,69.36,30.64,2004-05-25
828,0.0,0.0,0.0,6.02,77.6,22.4,2004-05-18
829,0.0,0.0,0.0,6.02,73.45,26.55,2004-05-11
830,0.0,0.0,0.0,6.02,43.58,56.42,2004-05-04
831,0.0,0.0,0.0,6.02,43.58,56.42,2004-04-27
832,0.0,0.0,0.0,6.02,43.58,56.42,2004-04-20
833,0.0,0.0,0.0,6.02,43.58,56.42,2004-04-13
834,0.0,0.0,0.0,6.05,43.58,56.42,2004-04-06
835,0.0,0.0,0.0,5.95,43.92,56.08,2004-03-30
836,0.0,0.0,0.0,5.95,43.92,56.08,2004-03-23
837,0.0,0.0,0.0,5.95,43.92,56.08,2004-03-16
838,0.0,0.0,0.0,5.95,43.92,56.08,2004-03-09
839,0.0,0.0,0.0,5.95,43.92,56.08,2004-03-02
840,0.0,0.0,0.0,5.95,44.1,55.9,2004-02-24
841,0.0,0.0,0.0,5.95,44.1,55.9,2004-02-17
842,0.0,0.0,0.0,5.95,44.1,55.9,2004-02-10
843,0.0,0.0,0.0,5.95,47.89,52.11,2004-02-03
844,0.0,0.0,0.0,5.95,47.89,52.11,2004-01-27
845,0.0,0.0,0.0,6.4,48.92,51.08,2004-01-20
846,0.0,0.0,0.0,7.91,51.08,48.92,2004-01-13
847,0.0,0.0,0.0,38.07,47.82,52.18,2004-01-06
848,0.0,0.0,0.0,38.36,48.34,51.66,2003-12-30
849,0.0,0.0,2.79,36.93,43.98,56.02,2003-12-23
850,0.0,0.0,5.31,39.31,45.14,54.86,2003-12-16
851,0.0,0.0,9.32,37.75,48.83,51.17,2003-12-09
852,0.0,0.0,10.16,41.97,52.63,47.37,2003-12-02
853,0.0,0.0,9.12,42.94,51.65,48.35,2003-11-25
854,0.0,0.0,9.13,48.42,60.17,39.83,2003-11-18
855,0.0,0.0,8.92,47.25,58.87,41.13,2003-11-11
856,0.0,0.0,9.65,47.51,59.75,40.25,2003-11-04
857,0.0,0.0,9.18,47.33,59.49,40.51,2003-10-28
858,0.0,0.0,9.01,47.12,60.38,39.62,2003-10-21
859,0.0,0.0,10.86,50.99,59.09,40.91,2003-10-14
860,0.0,0.0,17.58,75.07,100.0,0.0,2003-10-07
861,0.0,0.0,14.19,57.13,100.0,0.0,2003-09-30
862,0.0,0.0,14.35,57.49,100.0,0.0,2003-09-23
863,0.0,0.0,14.56,58.19,100.0,0.0,2003-09-16
864,0.0,0.0,16.16,95.32,100.0,0.0,2003-09-09
865,0.0,0.0,0.34,94.8,100.0,0.0,2003-09-02
866,0.0,0.0,0.57,93.16,100.0,0.0,2003-08-26
867,0.0,0.0,0.19,93.0,100.0,0.0,2003-08-19
868,0.0,0.0,0.0,93.45,100.0,0.0,2003-08-12
869,0.0,0.0,0.0,100.0,100.0,0.0,2003-08-05
870,0.0,0.0,0.0,100.0,100.0,0.0,2003-07-29
871,0.0,0.0,0.0,0.0,100.0,0.0,2003-07-22
872,0.0,0.0,0.0,0.0,100.0,0.0,2003-07-15
873,0.0,0.0,0.0,0.0,100.0,0.0,2003-07-08
874,0.0,0.0,0.0,0.0,99.65,0.35,2003-07-01
875,0.0,0.0,0.0,0.0,28.15,71.85,2003-06-24
876,0.0,0.0,0.0,0.0,28.45,71.55,2003-06-17
877,0.0,0.0,0.0,0.0,27.42,72.58,2003-06-10
878,0.0,0.0,0.0,0.0,28.16,71.84,2003-06-03
879,0.0,0.0,0.0,0.0,0.0,100.0,2003-05-27
880,0.0,0.0,0.0,0.0,0.0,100.0,2003-05-20
881,0.0,0.0,0.0,0.0,0.0,100.0,2003-05-13
882,0.0,0.0,0.0,0.0,0.0,100.0,2003-05-06
883,0.0,0.0,0.0,0.0,0.0,100.0,2003-04-29
884,0.0,0.0,0.0,0.0,2.72,97.28,2003-04-22
885,0.0,0.0,0.0,0.0,2.85,97.15,2003-04-15
886,0.0,0.0,0.0,0.0,2.81,97.19,2003-04-08
887,0.0,0.0,0.0,0.0,2.68,97.32,2003-04-01
888,0.0,0.0,0.0,0.0,2.91,97.09,2003-03-25
889,0.0,0.0,0.0,0.0,3.42,96.58,2003-03-18
890,0.0,0.0,0.0,0.0,92.3,7.7,2003-03-11
891,0.0,0.0,0.0,0.0,100.0,0.0,2003-03-04
892,0.0,0.0,0.0,0.0,99.95,0.05,2003-02-25
893,0.0,0.0,0.0,0.36,100.0,0.0,2003-02-18
894,0.0,0.0,0.0,0.48,100.0,0.0,2003-02-11
895,0.0,0.0,0.0,0.56,66.63,33.37,2003-02-04
896,0.0,0.0,1.22,7.5,67.26,32.74,2003-01-28
897,0.0,0.0,1.64,9.39,65.41,34.59,2003-01-21
898,0.0,0.0,2.15,9.04,63.52,36.48,2003-01-14
899,0.0,0.0,0.09,6.79,70.76,29.24,2003-01-07
900,0.0,0.0,0.03,6.07,85.74,14.26,2002-12-31
901,0.0,0.0,0.12,29.13,88.28,11.72,2002-12-24
902,0.0,0.0,0.23,28.32,86.75,13.25,2002-12-17
903,0.0,0.0,0.0,27.76,100.0,0.0,2002-12-10
904,0.0,0.0,0.04,28.49,100.0,0.0,2002-12-03
905,0.0,0.0,0.07,29.59,100.0,0.0,2002-11-26
906,0.0,0.0,0.06,29.09,100.0,0.0,2002-11-19
907,0.0,0.0,0.08,27.85,100.0,0.0,2002-11-12
908,0.0,0.0,0.01,40.24,100.0,0.0,2002-11-05
909,0.0,0.0,0.0,0.0,73.96,26.04,2002-10-29
910,0.0,0.0,0.0,0.0,73.89,26.11,2002-10-22
911,0.0,0.0,0.0,0.0,62.3,37.7,2002-10-15
912,0.0,0.0,0.0,0.0,63.92,36.08,2002-10-08
913,0.0,0.0,0.0,0.0,59.04,40.96,2002-10-01
914,0.0,0.0,0.0,0.0,52.33,47.67,2002-09-24
915,0.0,0.0,0.0,0.0,52.49,47.51,2002-09-17
916,0.0,0.0,0.0,0.0,37.28,62.72,2002-09-10
917,0.0,0.0,0.0,0.0,30.55,69.45,2002-09-03
918,0.0,0.0,0.0,0.0,31.31,68.69,2002-08-27
919,0.0,0.0,0.0,0.0,31.62,68.38,2002-08-20
920,0.0,0.0,0.0,0.0,35.13,64.87,2002-08-13
921,0.0,0.0,0.0,0.0,15.77,84.23,2002-08-06
922,0.0,0.0,0.0,0.49,18.17,81.83,2002-07-30
923,0.0,0.0,0.0,0.4,18.39,81.61,2002-07-23
924,0.0,0.0,0.0,0.22,17.47,82.53,2002-07-16
925,0.0,0.0,0.0,0.2,3.26,96.74,2002-07-09
926,0.0,0.0,0.0,0.0,2.99,97.01,2002-07-02
927,0.0,0.0,0.0,0.38,2.84,97.16,2002-06-25
928,0.0,0.0,0.0,0.25,2.24,97.76,2002-06-18
929,0.0,0.0,0.0,0.44,2.33,97.67,2002-06-11
930,0.0,0.0,0.0,0.42,2.34,97.66,2002-06-04
931,0.0,0.0,0.0,0.81,2.15,97.85,2002-05-28
932,0.0,0.0,0.0,0.23,1.99,98.01,2002-05-21
933,0.0,0.0,0.0,0.09,1.46,98.54,2002-05-14
934,0.0,0.0,0.0,0.31,1.92,98.08,2002-05-07
935,0.0,0.0,0.0,0.34,2.74,97.26,2002-04-30
936,0.0,0.0,0.0,0.0,4.45,95.55,2002-04-23
937,0.0,0.0,0.0,0.0,4.05,95.95,2002-04-16
938,0.0,0.0,0.0,0.0,5.07,94.93,2002-04-09
939,0.0,0.0,0.0,0.0,5.2,94.8,2002-04-02
940,0.0,0.0,0.0,0.0,5.56,94.44,2002-03-26
941,0.0,0.0,0.0,0.0,4.51,95.49,2002-03-19
942,0.0,0.0,0.0,0.0,0.0,100.0,2002-03-12
943,0.0,0.0,0.0,0.0,1.18,98.82,2002-03-05
944,0.0,0.0,0.0,0.0,0.98,99.02,2002-02-26
945,0.0,0.0,0.0,0.0,1.2,98.8,2002-02-19
946,0.0,0.0,0.0,0.0,1.24,98.76,2002-02-12
947,0.0,0.0,0.0,3.26,34.78,65.22,2002-02-05
948,0.0,0.0,0.0,3.52,36.31,63.69,2002-01-29
949,0.0,0.0,0.78,6.9,52.68,47.32,2002-01-22
950,0.0,0.0,0.64,7.45,52.86,47.14,2002-01-15
951,0.0,0.0,2.39,18.51,55.07,44.93,2002-01-08
952,0.0,1.49,43.49,66.87,77.83,22.17,2002-01-01
953,0.0,0.9,46.69,66.15,76.98,23.02,2001-12-25
954,0.0,0.9,46.73,63.81,77.02,22.98,2001-12-18
955,0.0,0.9,46.73,63.81,81.39,18.61,2001-12-11
956,0.0,1.06,46.7,65.88,81.91,18.09,2001-12-04
957,0.0,5.81,66.87,81.95,100.0,0.0,2001-11-27
958,0.0,5.81,67.87,85.77,100.0,0.0,2001-11-20
959,0.0,5.81,68.03,90.97,100.0,0.0,2001-11-13
960,0.0,5.81,68.03,90.97,100.0,0.0,2001-11-06
961,0.0,5.81,68.03,90.97,100.0,0.0,2001-10-30
962,0.0,5.81,68.03,90.97,100.0,0.0,2001-10-23
963,0.0,5.81,68.03,90.97,100.0,0.0,2001-10-16
964,0.0,5.81,68.03,100.0,100.0,0.0,2001-10-09
965,0.0,5.81,68.03,100.0,100.0,0.0,2001-10-02
966,0.0,5.81,68.03,100.0,100.0,0.0,2001-09-25
967,0.0,5.81,68.03,100.0,100.0,0.0,2001-09-18
968,0.0,5.81,68.03,100.0,100.0,0.0,2001-09-11
969,0.0,4.36,60.32,100.0,100.0,0.0,2001-09-04
970,0.0,0.0,60.32,100.0,100.0,0.0,2001-08-28
971,0.0,0.0,61.4,100.0,100.0,0.0,2001-08-21
972,0.0,0.0,61.4,100.0,100.0,0.0,2001-08-14
973,0.0,0.0,62.09,100.0,100.0,0.0,2001-08-07
974,0.0,0.0,62.09,100.0,100.0,0.0,2001-07-31
975,0.0,0.0,62.09,100.0,100.0,0.0,2001-07-24
976,0.0,0.0,74.22,100.0,100.0,0.0,2001-07-17
977,0.0,0.0,74.22,100.0,100.0,0.0,2001-07-10
978,0.0,0.0,74.22,100.0,100.0,0.0,2001-07-03
979,0.0,0.0,62.53,100.0,100.0,0.0,2001-06-26
980,0.0,0.0,62.53,100.0,100.0,0.0,2001-06-19
981,0.0,0.0,54.71,100.0,100.0,0.0,2001-06-12
982,0.0,0.0,54.71,97.29,100.0,0.0,2001-06-05
983,0.0,0.0,56.3,100.0,100.0,0.0,2001-05-29
984,0.0,0.0,56.3,100.0,100.0,0.0,2001-05-22
985,0.0,0.0,56.3,100.0,100.0,0.0,2001-05-15
986,0.0,0.0,46.37,100.0,100.0,0.0,2001-05-08
987,0.0,0.0,46.37,100.0,100.0,0.0,2001-05-01
988,0.0,0.0,46.37,100.0,100.0,0.0,2001-04-24
989,0.0,0.0,46.37,100.0,100.0,0.0,2001-04-17
990,0.0,0.0,46.37,100.0,100.0,0.0,2001-04-10
991,0.0,0.0,46.37,100.0,100.0,0.0,2001-04-03
992,0.0,0.0,45.1,100.0,100.0,0.0,2001-03-27
993,0.0,0.0,45.1,100.0,100.0,0.0,2001-03-20
994,0.0,0.0,45.1,100.0,100.0,0.0,2001-03-13
995,0.0,0.0,5.44,100.0,100.0,0.0,2001-03-06
996,0.0,0.0,0.0,100.0,100.0,0.0,2001-02-27
997,0.0,0.0,0.0,99.98,100.0,0.0,2001-02-20
998,0.0,0.0,0.0,99.93,100.0,0.0,2001-02-13
999,0.0,0.0,0.0,5.3,99.98,0.02,2001-02-06
1000,0.0,0.0,0.0,5.3,99.98,0.02,2001-01-30
1001,0.0,0.0,0.0,0.0,99.9,0.1,2001-01-23
1002,0.0,0.0,0.0,0.0,12.17,87.83,2001-01-16
1003,0.0,0.0,0.0,0.0,12.17,87.83,2001-01-09
1004,0.0,0.0,0.0,0.0,0.0,100.0,2001-01-02
1005,0.0,0.0,0.0,0.0,0.0,100.0,2000-12-26
1006,0.0,0.0,0.0,0.0,0.0,100.0,2000-12-19
1007,0.0,0.0,0.0,0.0,0.0,100.0,2000-12-12
1008,0.0,0.0,0.0,0.0,0.0,100.0,2000-12-05
1009,0.0,0.0,0.0,0.0,0.0,100.0,2000-11-28
1010,0.0,0.0,0.0,0.0,0.0,100.0,2000-11-21
1011,0.0,0.0,0.0,0.0,0.0,100.0,2000-11-14
1012,0.0,0.0,0.0,0.0,0.0,100.0,2000-11-07
1013,0.0,0.0,0.0,0.0,0.0,100.0,2000-10-31
1014,0.0,0.0,0.0,0.0,0.0,100.0,2000-10-24
1015,0.0,0.0,0.0,0.0,0.0,100.0,2000-10-17
1016,0.0,0.0,0.0,0.0,0.0,100.0,2000-10-10
1017,0.0,0.0,0.0,0.0,0.0,100.0,2000-10-03
1018,0.0,0.0,0.0,0.0,0.0,100.0,2000-09-26
1019,0.0,0.0,0.0,0.0,0.0,100.0,2000-09-19
1020,0.0,0.0,0.0,0.0,0.0,100.0,2000-09-12
1021,0.0,0.0,0.0,0.0,15.37,84.63,2000-09-05
1022,0.0,0.0,0.0,0.0,20.32,79.68,2000-08-29
1023,0.0,0.0,0.0,0.0,10.44,89.56,2000-08-22
1024,0.0,0.0,0.0,0.0,10.44,89.56,2000-08-15
1025,0.0,0.0,0.0,0.0,10.44,89.56,2000-08-08
1026,0.0,0.0,0.0,0.0,0.0,100.0,2000-08-01
1027,0.0,0.0,0.0,0.0,0.07,99.93,2000-07-25
1028,0.0,0.0,0.0,0.0,0.07,99.93,2000-07-18
1029,0.0,0.0,0.0,0.0,0.0,100.0,2000-07-11
1030,0.0,0.0,0.0,0.0,0.0,100.0,2000-07-04
1031,0.0,0.0,0.0,0.0,0.0,100.0,2000-06-27
1032,0.0,0.0,0.0,0.0,0.0,100.0,2000-06-20
1033,0.0,0.0,0.0,0.0,0.0,100.0,2000-06-13
1034,0.0,0.0,0.0,0.0,0.0,100.0,2000-06-06
1035,0.0,0.0,0.0,0.0,0.0,100.0,2000-05-30
1036,0.0,0.0,0.0,0.0,0.0,100.0,2000-05-23
1037,0.0,0.0,0.0,0.0,0.0,100.0,2000-05-16
1038,0.0,0.0,0.0,0.0,0.0,100.0,2000-05-09
1039,0.0,0.0,0.0,0.0,0.0,100.0,2000-05-02
1040,0.0,0.0,0.0,0.0,0.0,100.0,2000-04-25
1041,0.0,0.0,0.0,0.0,0.0,100.0,2000-04-18
1042,0.0,0.0,0.0,0.0,0.0,100.0,2000-04-11
1043,0.0,0.0,0.0,0.0,0.0,100.0,2000-04-04
1044,0.0,0.0,0.0,0.0,0.0,100.0,2000-03-28
1045,0.0,0.0,0.0,0.0,0.0,100.0,2000-03-21
1046,0.0,0.0,0.0,0.0,0.0,100.0,2000-03-14
1047,0.0,0.0,0.0,0.0,0.0,100.0,2000-03-07
1048,0.0,0.0,0.0,0.0,0.0,100.0,2000-02-29
1049,0.0,0.0,0.0,0.0,0.0,100.0,2000-02-22
1050,0.0,0.0,0.0,0.0,0.0,100.0,2000-02-15
1051,0.0,0.0,0.0,0.0,0.0,100.0,2000-02-08
1052,0.0,0.0,0.0,0.0,0.0,100.0,2000-02-01
1053,0.0,0.0,0.0,0.0,0.0,100.0,2000-01-25
1054,0.0,0.0,0.0,0.0,0.0,100.0,2000-01-18
1055,0.0,0.0,0.0,0.0,0.0,100.0,2000-01-11
1056,0.0,0.0,0.0,0.0,0.0,100.0,2000-01-04
